15-2-3 20:39:55.9|Info|Bootstrap|Starting NzbDrone - /usr/lib/sonarr/NzbDrone.exe - Version 2.0.0.2722
15-2-3 20:39:57.4|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (2, '2015-02-04T02:39:57', 'remove_tvrage_imdb_unique_constraint')
15-2-3 20:39:57.4|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.4|Debug|MigrationLogger|2: remove_tvrage_imdb_unique_constraint migrated
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0199440
15-2-3 20:39:57.4|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
15-2-3 20:39:57.4|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.4|Info|remove_renamed_scene_mapping_columns|Starting migration  to 3
15-2-3 20:39:57.4|Debug|MigrationLogger|DeleteTable SceneMappings
15-2-3 20:39:57.4|Debug|MigrationLogger|DROP TABLE "SceneMappings"
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0008740
15-2-3 20:39:57.4|Debug|MigrationLogger|CreateTable SceneMappings
15-2-3 20:39:57.4|Debug|MigrationLogger|CREATE TABLE "SceneMappings" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "SearchTerm" TEXT NOT NULL, "ParseTerm" TEXT NOT NULL)
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0007820
15-2-3 20:39:57.4|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (3, '2015-02-04T02:39:57', 'remove_renamed_scene_mapping_columns')
15-2-3 20:39:57.4|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.4|Debug|MigrationLogger|3: remove_renamed_scene_mapping_columns migrated
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0230110
15-2-3 20:39:57.4|Info|MigrationLogger|*** 4: updated_history migrating ***
15-2-3 20:39:57.4|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.4|Info|updated_history|Starting migration  to 4
15-2-3 20:39:57.4|Debug|MigrationLogger|DeleteTable History
15-2-3 20:39:57.4|Debug|MigrationLogger|DROP TABLE "History"
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0006140
15-2-3 20:39:57.4|Debug|MigrationLogger|CreateTable History
15-2-3 20:39:57.4|Debug|MigrationLogger|CREATE TABLE "History" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "EpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "SourceTitle" TEXT NOT NULL, "Date" DATETIME NOT NULL, "Quality" TEXT NOT NULL, "Data" TEXT NOT NULL)
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0012660
15-2-3 20:39:57.4|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (4, '2015-02-04T02:39:57', 'updated_history')
15-2-3 20:39:57.4|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.4|Debug|MigrationLogger|4: updated_history migrated
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0122730
15-2-3 20:39:57.4|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
15-2-3 20:39:57.4|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.4|Info|added_eventtype_to_history|Starting migration  to 5
15-2-3 20:39:57.4|Debug|MigrationLogger|AlterTable History
15-2-3 20:39:57.4|Debug|MigrationLogger|
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0002030
15-2-3 20:39:57.4|Debug|MigrationLogger|CreateColumn History EventType Int32
15-2-3 20:39:57.4|Debug|MigrationLogger|ALTER TABLE "History" ADD COLUMN "EventType" INTEGER
15-2-3 20:39:57.4|Debug|MigrationLogger|Took: 00:00:00.0005220
15-2-3 20:39:57.4|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (5, '2015-02-04T02:39:57', 'added_eventtype_to_history')
15-2-3 20:39:57.4|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.5|Debug|MigrationLogger|5: added_eventtype_to_history migrated
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0110270
15-2-3 20:39:57.5|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
15-2-3 20:39:57.5|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.5|Info|add_index_to_log_time|Starting migration  to 6
15-2-3 20:39:57.5|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (6, '2015-02-04T02:39:57', 'add_index_to_log_time')
15-2-3 20:39:57.5|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.5|Debug|MigrationLogger|6: add_index_to_log_time migrated
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0142790
15-2-3 20:39:57.5|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
15-2-3 20:39:57.5|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.5|Info|add_renameEpisodes_to_naming|Starting migration  to 7
15-2-3 20:39:57.5|Debug|MigrationLogger|AlterTable NamingConfig
15-2-3 20:39:57.5|Debug|MigrationLogger|
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0001950
15-2-3 20:39:57.5|Debug|MigrationLogger|CreateColumn NamingConfig RenameEpisodes Boolean
15-2-3 20:39:57.5|Debug|MigrationLogger|ALTER TABLE "NamingConfig" ADD COLUMN "RenameEpisodes" INTEGER
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0005710
15-2-3 20:39:57.5|Debug|MigrationLogger|ExecuteSqlStatement UPDATE NamingConfig SET RenameEpisodes =~ UseSceneName
15-2-3 20:39:57.5|Debug|MigrationLogger|UPDATE NamingConfig SET RenameEpisodes =~ UseSceneName
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0005470
15-2-3 20:39:57.5|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (7, '2015-02-04T02:39:57', 'add_renameEpisodes_to_naming')
15-2-3 20:39:57.5|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.5|Debug|MigrationLogger|7: add_renameEpisodes_to_naming migrated
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0106010
15-2-3 20:39:57.5|Info|MigrationLogger|*** 8: remove_backlog migrating ***
15-2-3 20:39:57.5|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.5|Info|remove_backlog|Starting migration  to 8
15-2-3 20:39:57.5|Debug|MigrationLogger|DeleteColumn Series BacklogSetting
15-2-3 20:39:57.5|Debug|MigrationLogger|CREATE TABLE "Series_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "TvRageId" INTEGER NOT NULL, "ImdbId" TEXT NOT NULL, "Title" TEXT NOT NULL, "TitleSlug" TEXT NOT NULL, "CleanTitle" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "AirTime" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "QualityProfileId" INTEGER NOT NULL, "SeasonFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "Runtime" INTEGER NOT NULL, "SeriesType" INTEGER NOT NULL, "Network" TEXT, "CustomStartDate" DATETIME, "UseSceneNumbering" INTEGER NOT NULL, "FirstAired" DATETIME, "NextAiring" DATETIME)
15-2-3 20:39:57.5|Debug|MigrationLogger|INSERT INTO "Series_temp" SELECT "Id", "TvdbId", "TvRageId", "ImdbId", "Title", "TitleSlug", "CleanTitle", "Status", "Overview", "AirTime", "Images", "Path", "Monitored", "QualityProfileId", "SeasonFolder", "LastInfoSync", "LastDiskSync", "Runtime", "SeriesType", "Network", "CustomStartDate", "UseSceneNumbering", "FirstAired", "NextAiring" FROM "Series"
15-2-3 20:39:57.5|Debug|MigrationLogger|DROP TABLE "Series"
15-2-3 20:39:57.5|Debug|MigrationLogger|ALTER TABLE "Series_temp" RENAME TO "Series"
15-2-3 20:39:57.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvdbId" ON "Series" ("TvdbId" ASC)
15-2-3 20:39:57.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TitleSlug" ON "Series" ("TitleSlug" ASC)
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0261890
15-2-3 20:39:57.5|Debug|MigrationLogger|DeleteColumn NamingConfig UseSceneName
15-2-3 20:39:57.5|Debug|MigrationLogger|CREATE TABLE "NamingConfig_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "SeasonFolderFormat" TEXT NOT NULL, "RenameEpisodes" INTEGER)
15-2-3 20:39:57.5|Debug|MigrationLogger|INSERT INTO "NamingConfig_temp" SELECT "Id", "Separator", "NumberStyle", "IncludeSeriesTitle", "MultiEpisodeStyle", "IncludeEpisodeTitle", "IncludeQuality", "ReplaceSpaces", "SeasonFolderFormat", "RenameEpisodes" FROM "NamingConfig"
15-2-3 20:39:57.5|Debug|MigrationLogger|DROP TABLE "NamingConfig"
15-2-3 20:39:57.5|Debug|MigrationLogger|ALTER TABLE "NamingConfig_temp" RENAME TO "NamingConfig"
15-2-3 20:39:57.5|Debug|MigrationLogger|Took: 00:00:00.0170130
15-2-3 20:39:57.5|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (8, '2015-02-04T02:39:57', 'remove_backlog')
15-2-3 20:39:57.5|Debug|MigrationLogger|Committing Transaction
15-2-3 20:39:57.6|Debug|MigrationLogger|8: remove_backlog migrated
15-2-3 20:39:57.6|Debug|MigrationLogger|Took: 00:00:00.0325920
15-2-3 20:39:57.6|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
15-2-3 20:39:57.6|Debug|MigrationLogger|Beginning Transaction
15-2-3 20:39:57.6|Info|fix_rename_episodes|Starting migration  to 9
15-2-3 20:39:57.6|Debug|MigrationLogger|DeleteColumn NamingConfig SeasonFolderFormat
15-2-3 20:39:57.6|Debug|MigrationLogger|CREATE TABLE "NamingConfig_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "RenameEpisodes" INTEGER)
15-2-3 20:39:57.6|Debug|MigrationLogger|INSERT INTO "NamingConfig_temp" SELECT "Id", "Separator", "NumberStyle", "IncludeSeriesTitle", "MultiEpisodeStyle", "IncludeEpisodeTitle", "IncludeQuality", "ReplaceSpaces", "RenameEpisodes" FROM "NamingConfig"
15-2-3 20:39:57.6|Debug|MigrationLogger|DROP TABLE "NamingConfig"
